feature,category,count,mean_price,median_price
brand,audi,855,43474.480701754386,39790.0
brand,cadillac,800,43573.05875,37945.0
brand,fiat,805,15216.832298136645,13625.0
brand,ford,835,36420.67904191617,33999.0
brand,honda,803,25845.74097135741,25995.0
brand,hyundai,841,25164.643281807374,23124.0
brand,jaguar,808,35362.460396039605,32665.5
brand,kia,791,28868.130214917826,29198.0
brand,land,786,54342.59541984733,43963.0
brand,maserati,811,56112.32429099877,42995.0
brand,mercedes-benz,788,56187.57614213198,46998.0
brand,nissan,795,27990.998742138363,24893.0
brand,porsche,808,82956.43193069307,65990.0
brand,volkswagen,811,27152.62885326757,26998.0
brand,volvo,831,36150.552346570395,35981.0
model,500 pop,129,10841.937984496124,9997.0
model,500e battery electric,84,12103.488095238095,11843.5
model,countryman cooper s all4,95,25063.284210526315,26771.0
model,f-150 xlt,67,32174.83582089552,32511.0
model,ghibli s q4,109,32537.440366972478,29995.0
model,grand cherokee limited,66,30696.333333333332,30930.0
model,granturismo sport,83,55027.43373493976,50333.0
model,gx 460 base,83,44583.21686746988,46324.0
model,hardtop cooper s,92,21913.08695652174,21395.0
model,outlander sel,70,26234.914285714287,23294.5
model,romeo giulia base,107,29732.831775700935,29498.0
model,romeo giulia ti,169,31052.313609467456,30600.0
model,romeo stelvio base,107,30211.48598130841,30121.0
model,romeo stelvio ti,160,33935.1375,33788.5
model,romeo stelvio ti sport,74,34291.05405405405,34850.0
engine,1.4l i4 16v mpfi sohc turbo,277,18277.018050541516,16990.0
engine,1.5l i4 16v gdi dohc turbo,255,25659.176470588234,25996.0
engine,2.0l i4 16v gdi dohc,394,30677.802030456853,28996.5
engine,2.0l i4 16v gdi dohc turbo,2324,32350.84165232358,31500.0
engine,2.0l i4 16v gdi sohc turbo,638,32445.691222570535,31928.0
engine,2.0l i4 16v mpfi dohc,486,18088.41975308642,19158.0
engine,2.4l i4 16v mpfi sohc,262,17663.164122137405,17995.0
engine,2.5l i4 16v gdi dohc,404,25293.398514851484,25671.0
