feature,coefficient_log_price,absolute_coefficient,is_zero
cat__engine_3.0l v6 24v pdi dohc twin turbo,1.330311801468024,1.330311801468024,False
cat__engine_4.0l h6 24v gdi dohc,0.788526233024822,0.788526233024822,False
cat__engine_3.8l h6 24v gdi dohc,0.63323522118234,0.63323522118234,False
cat__engine_6.2l v8 16v gdi ohv supercharged,0.6311301419686585,0.6311301419686585,False
cat__brand_suzuki,-0.6291590631864237,0.6291590631864237,False
cat__brand_porsche,0.5719518337311489,0.5719518337311489,False
cat__engine_6.4l v8 16v mpfi ohv,0.4361851299110933,0.4361851299110933,False
cat__engine_6.2l v8 16v gdi ohv,0.43296945358581623,0.43296945358581623,False
cat__engine_3.0l h6 24v gdi dohc twin turbo,0.42457163617398985,0.42457163617398985,False
cat__engine_4.0l v8 32v gdi dohc twin turbo,0.41937961114892924,0.41937961114892924,False
cat__brand_fiat,-0.39966929933334006,0.39966929933334006,False
cat__engine_4.4l v8 32v gdi dohc twin turbo,0.3934024840969429,0.3934024840969429,False
cat__engine_5.7l v8 32v mpfi dohc,0.37836542350428787,0.37836542350428787,False
cat__model_cts-v base,0.3464257472066393,0.3464257472066393,False
cat__engine_v8,0.34221730193979555,0.34221730193979555,False
cat__model_500e battery electric,-0.34096730899131167,0.34096730899131167,False
cat__model_silverado 2500 lt,0.3331721825910345,0.3331721825910345,False
cat__model_lancer evolution gsr,0.32812897640623634,0.32812897640623634,False
cat__transmission_2-speed automatic,0.3267785364808056,0.3267785364808056,False
cat__model_mirage g4 es,-0.3251571944786875,0.3251571944786875,False
cat__engine_5.0l v8 32v gdi dohc supercharged,0.324948362507809,0.324948362507809,False
cat__engine_2.0l i4 16v gdi dohc turbo flexible fuel,-0.32070414547269793,0.32070414547269793,False
cat__engine_2.0l i4 16v ddi dohc turbo diesel,-0.31966950668011107,0.31966950668011107,False
cat__engine_2.0l i4 16v mpfi dohc turbo,0.3144388597630176,0.3144388597630176,False
cat__engine_5.5l v8 32v gdi dohc twin turbo,0.3128657738564043,0.3128657738564043,False
cat__engine_5.3l v8 16v gdi ohv,0.30964937154409405,0.30964937154409405,False
cat__engine_6.7l v8 32v ddi ohv turbo diesel,0.3006744350242503,0.3006744350242503,False
cat__model_macan s,-0.29045565857388955,0.29045565857388955,False
cat__fuel_type_unknown,0.2834538903047019,0.2834538903047019,False
cat__model_wrangler unlimited rubicon,0.2786489225811275,0.2786489225811275,False
cat__model_rover discovery sport se,-0.2760963506121223,0.2760963506121223,False
cat__model_cayenne base,-0.27079600646967145,0.27079600646967145,False
cat__drivetrain_unknown,0.26242815211106685,0.26242815211106685,False
cat__engine_i4,-0.2602687252094312,0.2602687252094312,False
cat__engine_2.0l i4 16v gdi sohc turbo,-0.259086405520025,0.259086405520025,False
cat__engine_3.0l i6 24v gdi dohc twin turbo,0.24805115210643516,0.24805115210643516,False
cat__brand_mercedes-benz,0.24761918346518402,0.24761918346518402,False
num__mileage,-0.243428319668489,0.243428319668489,False
cat__engine_4.7l v8 32v mpfi dohc,0.24182619643510744,0.24182619643510744,False
cat__brand_land,0.24122216608876376,0.24122216608876376,False
cat__brand_mazda,-0.2394172620004623,0.2394172620004623,False
cat__engine_6.6l v8 32v ddi ohv turbo diesel,0.22887945043800764,0.22887945043800764,False
cat__model_macan base,-0.2263511740525683,0.2263511740525683,False
cat__model_rover discovery sport hse,-0.22464048050185814,0.22464048050185814,False
cat__model_ghibli base,-0.22456410729225862,0.22456410729225862,False
cat__fuel_type_electric,-0.2240818861848399,0.2240818861848399,False
cat__brand_mitsubishi,-0.22281485176811314,0.22281485176811314,False
cat__brand_hyundai,-0.22047185399802943,0.22047185399802943,False
cat__model_convertible cooper s,0.21812355609629575,0.21812355609629575,False
cat__model_ghibli s q4,-0.21803123555673443,0.21803123555673443,False
cat__engine_1.4l i4 16v gdi dohc turbo,-0.21798886341925205,0.21798886341925205,False
cat__engine_6.0l v8 16v mpfi ohv,0.20942251225625183,0.20942251225625183,False
cat__model_f-250 lariat,0.20937066666886806,0.20937066666886806,False
cat__interior_color_dark slate gray,-0.207925507950056,0.207925507950056,False
cat__engine_4.0l v6 24v mpfi dohc,0.20528542785709603,0.20528542785709603,False
cat__brand_maserati,0.20201881988221349,0.20201881988221349,False
cat__engine_5.6l v8 32v gdi dohc,0.20085765948833742,0.20085765948833742,False
cat__engine_5.0l v8 32v pdi dohc,0.19888783078638672,0.19888783078638672,False
cat__engine_1.6l i4 16v gdi dohc,-0.19240836702806388,0.19240836702806388,False
cat__model_mirage es,-0.19134280408574778,0.19134280408574778,False
cat__transmission_a/t,-0.18905397892939163,0.18905397892939163,False
cat__engine_intercooled turbo premium unleaded i-4 2.0 l/121,-0.18375516912261633,0.18375516912261633,False
cat__engine_1.6l i4 16v gdi dohc turbo,-0.17985517229426562,0.17985517229426562,False
cat__drivetrain_front-wheel drive,-0.17935347995685155,0.17935347995685155,False
cat__model_rover range rover evoque pure plus,-0.17897172884973234,0.17897172884973234,False
cat__engine_5.7l v8 16v mpfi ohv,0.17828231161152855,0.17828231161152855,False
cat__brand_lexus,0.17809864090604943,0.17809864090604943,False
cat__engine_1.5l i4 16v gdi dohc turbo,-0.1777086825399412,0.1777086825399412,False
cat__engine_2.0l i4 16v gdi dohc turbo,-0.17715222768613967,0.17715222768613967,False
cat__engine_intercooled turbo premium unleaded i-4 2.0 l/122,-0.1763282957610261,0.1763282957610261,False
cat__model_f-pace s,0.17508885939033544,0.17508885939033544,False
cat__engine_1.8l i4 16v gdi dohc turbo,-0.1735806805088251,0.1735806805088251,False
cat__brand_mini,-0.173542036232415,0.173542036232415,False
cat__brand_kia,-0.17004803610414948,0.17004803610414948,False
cat__model_wrangler unlimited sahara,0.16958726353384737,0.16958726353384737,False
cat__model_f-type s,0.16578326902197946,0.16578326902197946,False
cat__engine_2.0l i4 16v pdi dohc turbo,-0.16512410216957968,0.16512410216957968,False
cat__model_hardtop john cooper works,0.16329855253916745,0.16329855253916745,False
