feature,coefficient_log_price,absolute_coefficient,is_zero
cat__engine_4.0l h6 24v gdi dohc,1.123165470439041,1.123165470439041,False
cat__drivetrain_infrequent_sklearn,1.0040990432760166,1.0040990432760166,False
cat__engine_6.2l v8 16v gdi ohv supercharged,0.9983210553656767,0.9983210553656767,False
cat__engine_3.8l h6 24v gdi dohc,0.9969764217628853,0.9969764217628853,False
cat__engine_6.4l v8 16v mpfi ohv,0.8024034900810278,0.8024034900810278,False
cat__brand_suzuki,-0.7930647935592258,0.7930647935592258,False
cat__engine_6.2l v8 16v gdi ohv,0.7757840839916595,0.7757840839916595,False
cat__model_mc20 base,0.7342746073535334,0.7342746073535334,False
cat__engine_3.0l v6 24v pdi dohc twin turbo,0.7342746073535334,0.7342746073535334,False
cat__engine_5.7l v8 32v mpfi dohc,0.723224623859128,0.723224623859128,False
cat__engine_3.0l h6 24v gdi dohc twin turbo,0.6899035795268429,0.6899035795268429,False
cat__engine_4.0l v8 32v gdi dohc twin turbo,0.6732494132778334,0.6732494132778334,False
cat__engine_4.4l v8 32v gdi dohc twin turbo,0.6571299113132913,0.6571299113132913,False
cat__engine_5.5l v8 32v gdi dohc twin turbo,0.6495052318745075,0.6495052318745075,False
cat__engine_5.3l v8 16v gdi ohv,0.6092455722076552,0.6092455722076552,False
cat__engine_5.0l v8 32v gdi dohc supercharged,0.6053454260670998,0.6053454260670998,False
cat__engine_v8,0.5901224400058324,0.5901224400058324,False
cat__engine_6.0l v8 16v mpfi ohv,0.5834803168770839,0.5834803168770839,False
cat__engine_6.2l v8 16v mpfi ohv,0.5777533741600824,0.5777533741600824,False
cat__engine_5.6l v8 32v gdi dohc,0.569025251128752,0.569025251128752,False
cat__brand_fiat,-0.5689422048004935,0.5689422048004935,False
cat__engine_3.4l h6 24v gdi dohc,0.5468274186486715,0.5468274186486715,False
cat__engine_2.0l i4 16v mpfi dohc turbo,0.5432569395399277,0.5432569395399277,False
cat__engine_3.0l i6 24v gdi dohc twin turbo,0.5344379157801863,0.5344379157801863,False
cat__engine_4.0l v6 24v mpfi dohc,0.5286171391970503,0.5286171391970503,False
cat__engine_5.0l v8 32v pdi dohc,0.5223082720226118,0.5223082720226118,False
cat__engine_6.6l v8 32v ddi ohv turbo diesel,0.5221606205280079,0.5221606205280079,False
cat__engine_5.7l v8 16v mpfi ohv,0.5153503904093133,0.5153503904093133,False
cat__engine_4.7l v8 32v mpfi dohc,0.5114542446549358,0.5114542446549358,False
cat__engine_6.7l v8 32v ddi ohv turbo diesel,0.5109483255187655,0.5109483255187655,False
cat__model_cayenne base,-0.4979278055904139,0.4979278055904139,False
cat__model_rover discovery sport se,-0.4977808409698857,0.4977808409698857,False
cat__model_macan s,-0.48119206494715056,0.48119206494715056,False
cat__model_rover discovery sport hse,-0.46835909402625014,0.46835909402625014,False
cat__model_500e battery electric,-0.4643466664663824,0.4643466664663824,False
cat__engine_5.3l v8 16v mpfi ohv flexible fuel,0.46341109301996597,0.46341109301996597,False
cat__engine_3.8l v8 32v gdi dohc twin turbo,0.44505573866169146,0.44505573866169146,False
cat__model_rover range rover evoque pure plus,-0.43345851870083174,0.43345851870083174,False
cat__brand_porsche,0.4285086692610706,0.4285086692610706,False
cat__engine_3.8l v6 24v gdi dohc,0.4211164555555313,0.4211164555555313,False
cat__fuel_type_infrequent_sklearn,-0.42098781000668845,0.42098781000668845,False
cat__model_ghibli base,-0.4192965516393704,0.4192965516393704,False
cat__engine_2.5l i4 16v pdi dohc hybrid,0.41896057429545674,0.41896057429545674,False
cat__engine_3.7l v6 24v mpfi dohc,0.4181690407271715,0.4181690407271715,False
cat__engine_2.0l i4 16v gdi dohc hybrid,0.41248236033115193,0.41248236033115193,False
cat__engine_3.5l v6 24v pdi dohc hybrid,0.40860287312725463,0.40860287312725463,False
cat__model_ghibli s q4,-0.4084334742235142,0.4084334742235142,False
cat__engine_3.6l v6 24v mpfi dohc,0.404009751705418,0.404009751705418,False
cat__brand_hyundai,-0.39773480870082883,0.39773480870082883,False
cat__model_mirage g4 es,-0.3949843769415167,0.3949843769415167,False
cat__engine_3.5l v6 24v pdi dohc twin turbo,0.39413377831928387,0.39413377831928387,False
cat__model_cayenne s,-0.39216841434513855,0.39216841434513855,False
cat__engine_2.9l v6 24v gdi dohc twin turbo,0.3903461931577944,0.3903461931577944,False
cat__transmission_2-speed automatic,0.389191663310991,0.389191663310991,False
cat__brand_mazda,-0.38736623453251573,0.38736623453251573,False
cat__engine_2.5l i4 16v mpfi dohc hybrid,0.38681562493915755,0.38681562493915755,False
cat__model_ghibli s,-0.38631422630451606,0.38631422630451606,False
cat__model_macan base,-0.3855769954586059,0.3855769954586059,False
cat__engine_1.4l i4 16v mpfi sohc,0.38094115093924785,0.38094115093924785,False
cat__brand_mini,-0.3709976988024239,0.3709976988024239,False
cat__engine_3.5l v6 24v pdi dohc,0.36807950431642344,0.36807950431642344,False
