column,train_missing,test_missing
brand,0,0
model,0,0
year,0,0
mileage,0,0
engine,45,6
engine_size,1261,285
transmission,98,17
automatic_transmission,0,0
fuel_type,0,0
drivetrain,0,0
min_mpg,3182,794
max_mpg,3092,768
damaged,166,53
first_owner,303,87
personal_using,186,55
turbo,0,0
alloy_wheels,0,0
adaptive_cruise_control,0,0
navigation_system,0,0
power_liftgate,0,0
backup_camera,0,0
keyless_start,0,0
remote_start,0,0
sunroof/moonroof,0,0
automatic_emergency_braking,0,0
stability_control,0,0
leather_seats,0,0
memory_seat,0,0
third_row_seating,0,0
apple_car_play/android_auto,0,0
bluetooth,0,0
usb_port,0,0
heated_seats,0,0
interior_color,1146,318
exterior_color,204,59
price,0,0
vehicle_age,0,0
avg_mpg,3092,768
