feature,vif
vehicle_age,2.5265899695755265
memory_seat,2.019424591852028
usb_port,1.8831002736562368
mileage,1.790737712980021
leather_seats,1.755858204713132
bluetooth,1.6917511477620926
navigation_system,1.6155257597368704
stability_control,1.5398159477392883
power_liftgate,1.5070083707783184
backup_camera,1.493932912679136
sunroof/moonroof,1.476680463672688
alloy_wheels,1.4690218951615885
apple_car_play/android_auto,1.4556124156809584
keyless_start,1.4266350106823364
remote_start,1.4118084866122473
heated_seats,1.3990067454430544
first_owner,1.3537845627998695
adaptive_cruise_control,1.321194488126306
third_row_seating,1.2678489020673565
turbo,1.224292959072968
automatic_transmission,1.1462632377346786
automatic_emergency_braking,1.1390701257123421
avg_mpg,1.1064375121181
damaged,1.0851737457079607
engine_size,1.0688587286192024
personal_using,1.0526869245358659
