feature,coefficient_log_price,absolute_coefficient,is_zero
cat__engine_4.0l h6 24v gdi dohc,0.8583873210362724,0.8583873210362724,False
cat__brand_suzuki,-0.8014838417586605,0.8014838417586605,False
cat__engine_3.8l h6 24v gdi dohc,0.7288719498294134,0.7288719498294134,False
cat__engine_6.2l v8 16v gdi ohv supercharged,0.7274985502274346,0.7274985502274346,False
cat__model_mc20 base,0.6654651872115025,0.6654651872115025,False
cat__engine_3.0l v6 24v pdi dohc twin turbo,0.6654651872115025,0.6654651872115025,False
cat__drivetrain_infrequent_sklearn,0.6469788400474366,0.6469788400474366,False
cat__brand_fiat,-0.5534593920666572,0.5534593920666572,False
cat__engine_6.4l v8 16v mpfi ohv,0.5409750110536902,0.5409750110536902,False
cat__engine_6.2l v8 16v gdi ohv,0.5147991784279602,0.5147991784279602,False
cat__fuel_type_infrequent_sklearn,-0.46606860848063725,0.46606860848063725,False
cat__engine_5.7l v8 32v mpfi dohc,0.4623721399287839,0.4623721399287839,False
cat__model_cts-v base,0.44825849527730394,0.44825849527730394,False
cat__model_mirage g4 es,-0.44213906684621906,0.44213906684621906,False
cat__engine_2.0l i4 16v ddi dohc turbo diesel,-0.43909775687710273,0.43909775687710273,False
cat__engine_3.0l h6 24v gdi dohc twin turbo,0.42759147161500854,0.42759147161500854,False
cat__model_silverado 2500 lt,0.4227700652371004,0.4227700652371004,False
cat__brand_porsche,0.4208303882940417,0.4208303882940417,False
cat__engine_4.0l v8 32v gdi dohc twin turbo,0.4140927009015997,0.4140927009015997,False
cat__brand_hyundai,-0.40314862002321944,0.40314862002321944,False
cat__engine_2.0l i4 16v gdi dohc turbo flexible fuel,-0.4029059104338054,0.4029059104338054,False
cat__engine_4.4l v8 32v gdi dohc twin turbo,0.39958144119831057,0.39958144119831057,False
cat__brand_mazda,-0.3941492292731674,0.3941492292731674,False
cat__transmission_2-speed automatic,0.39176206887401804,0.39176206887401804,False
cat__engine_5.5l v8 32v gdi dohc twin turbo,0.3881517790328855,0.3881517790328855,False
cat__transmission_10-speed automatic with overdrive,0.3805983235362332,0.3805983235362332,False
cat__engine_2.0l i4 16v gdi sohc turbo,-0.38059026300123144,0.38059026300123144,False
cat__brand_mini,-0.3754667679141686,0.3754667679141686,False
cat__model_rover discovery sport se,-0.36958079445830205,0.36958079445830205,False
cat__model_cayenne base,-0.3689548559757525,0.3689548559757525,False
cat__brand_mitsubishi,-0.3587084011716186,0.3587084011716186,False
cat__model_macan s,-0.3580751103364298,0.3580751103364298,False
cat__model_500e battery electric,-0.3552782308927683,0.3552782308927683,False
cat__model_wrangler unlimited rubicon,0.347513355678085,0.347513355678085,False
cat__engine_5.3l v8 16v gdi ohv,0.34656849299738113,0.34656849299738113,False
cat__engine_5.0l v8 32v gdi dohc supercharged,0.34261571847647787,0.34261571847647787,False
cat__brand_kia,-0.3420977372157484,0.3420977372157484,False
cat__model_lancer evolution gsr,0.3410114891909618,0.3410114891909618,False
cat__model_rover discovery sport hse,-0.34013044973637563,0.34013044973637563,False
cat__engine_v8,0.3287635014486059,0.3287635014486059,False
cat__model_mirage es,-0.3253849509951176,0.3253849509951176,False
cat__engine_6.0l v8 16v mpfi ohv,0.3188955625020697,0.3188955625020697,False
cat__engine_6.2l v8 16v mpfi ohv,0.31615021009231253,0.31615021009231253,False
cat__model_rover range rover evoque pure plus,-0.3092152846343156,0.3092152846343156,False
cat__engine_5.6l v8 32v gdi dohc,0.30593897065651443,0.30593897065651443,False
cat__engine_1.4l i4 16v gdi dohc turbo,-0.305878835106194,0.305878835106194,False
cat__engine_2.0l i4 16v mpfi dohc turbo,0.30270564645683157,0.30270564645683157,False
cat__transmission_6-speed automatic with auto-shift,0.2994462552522919,0.2994462552522919,False
cat__transmission_manual,0.2957507076807497,0.2957507076807497,False
cat__model_ghibli base,-0.29232433989629575,0.29232433989629575,False
cat__transmission_6-speed manual,0.28617594082357034,0.28617594082357034,False
cat__model_f-type s,0.28401916827522067,0.28401916827522067,False
cat__model_ghibli s q4,-0.28170131230715223,0.28170131230715223,False
cat__engine_3.4l h6 24v gdi dohc,0.28050811541647996,0.28050811541647996,False
cat__drivetrain_unknown,0.27899808784281627,0.27899808784281627,False
cat__model_convertible cooper s,0.2787941270100194,0.2787941270100194,False
cat__engine_i4,-0.27555703342811916,0.27555703342811916,False
cat__engine_intercooled turbo premium unleaded i-4 2.0 l/121,-0.2742518949952141,0.2742518949952141,False
cat__engine_3.0l i6 24v gdi dohc twin turbo,0.2735161327443488,0.2735161327443488,False
