segment_feature,segment,listings,annual_log_price_slope,approx_annual_pct_change
brand,suzuki,100,-0.012265275571300234,-1.2190363663397634
brand,alfa,774,-0.02543539148274675,-2.5114637171143555
brand,chevrolet,735,-0.03100473762912608,-3.052901992880609
brand,volkswagen,811,-0.03780877865267685,-3.7102950240945947
brand,porsche,808,-0.040395891250639325,-3.9590853698070854
brand,ford,835,-0.04072905254510314,-3.991077155738447
brand,mitsubishi,781,-0.04084255919536977,-4.001974188511663
brand,fiat,805,-0.042687646459047726,-4.178935618431241
brand,mazda,780,-0.05102255116508273,-4.974275911711415
brand,jaguar,808,-0.05379012538124591,-5.236903067865498
brand,nissan,795,-0.06206764734984341,-6.018069164488507
brand,land,786,-0.06723707729687274,-6.502648593405692
brand,cadillac,800,-0.06895842897191123,-6.663451976568892
brand,honda,803,-0.07987499169279914,-7.676824918844738
brand,lexus,754,-0.08784875484996194,-8.410060841088857
brand,bmw,759,-0.09038719611605502,-8.642261683422966
brand,toyota,704,-0.0918829171770332,-8.778805235716893
brand,jeep,749,-0.09747634006712791,-9.287619620979243
brand,mercedes-benz,788,-0.10050234887104233,-9.561701186873641
brand,maserati,811,-0.1051043242423144,-9.976939818819828
brand,mini,771,-0.10652325135405338,-10.104585398289599
brand,audi,855,-0.1196268789591092,-11.27485728604018
brand,hyundai,841,-0.12316193600453682,-11.587951997013494
brand,volvo,831,-0.12605054169651633,-11.842971040060705
brand,kia,791,-0.13257199612212378,-12.416012523836793
