brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
mercedes-benz,amg gt c,2021.0,2050.0,"amg 4l v-8 gasoline direct injection, dohc, variable valve contr",,automatic,1.0,gasoline,rear-wheel drive,19.0,27.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,designo graphite gray magno,389900.0,3.0,23.0,77665.67595545584,312234.32404454413,-312234.32404454413,402.0235711636916,potentially_overpriced
bmw,xm,2023.0,754.0,4.4l v8,4.4,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black,bay blue,249895.0,1.0,,54888.95735804948,195006.0426419505,-195006.0426419505,355.2737235832242,potentially_overpriced
maserati,mc20 mc20,2022.0,1220.0,"nettuno 3l v-6 port/direct injection, dohc, variable valve contr",,"automatic, 8-spd dual-clutch",1.0,gasoline,rear-wheel drive,14.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,256900.0,2.0,16.0,69820.80006945263,187079.1999305474,-187079.1999305474,267.94193097823955,potentially_overpriced
porsche,911 turbo s,2022.0,3043.0,"3.8l h-6 gasoline direct injection, dohc, variocam plus variable",3.8,automatic,1.0,gasoline,four-wheel drive,18.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,bordeaux red/black,black,279888.0,2.0,20.5,93462.7732114119,186425.2267885881,-186425.2267885881,199.4646856528599,potentially_overpriced
mercedes-benz,sls amg base,2011.0,21213.0,6.2l v8 32v mpfi dohc,6.2,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,22.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,classic red,iridium silver metallic,216990.0,13.0,26.5,35346.067076843436,181643.93292315656,-181643.93292315656,513.9013982185262,potentially_overpriced
porsche,911 gt3 rs,2019.0,13042.0,"4l h-6 gasoline direct injection, dohc, variocam plus variable v",4.0,automatic,1.0,gasoline,rear-wheel drive,23.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,black,white,254888.0,5.0,27.5,73597.55218922181,181290.4478107782,-181290.4478107782,246.32673562929685,potentially_overpriced
mercedes-benz,sls amg base,2011.0,13422.0,6.2l v8 32v mpfi dohc,6.2,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,17.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,red,silver,213990.0,13.0,21.0,42234.595243176904,171755.4047568231,-171755.4047568231,406.66994384081517,potentially_overpriced
porsche,911 turbo s,2023.0,1972.0,3.8l h6 24v gdi dohc twin turbo,3.8,8-speed automatic,1.0,gasoline,four-wheel drive,15.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,slate gray,gentian blue metallic,279999.0,1.0,19.0,114058.86692207374,165940.13307792626,-165940.13307792626,145.4863944872417,potentially_overpriced
porsche,911 turbo s,2022.0,5922.0,3.8l h6 24v gdi dohc twin turbo,3.8,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,19.0,27.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,silver,262950.0,2.0,23.0,99167.4477323795,163782.55226762051,-163782.55226762051,165.15757540681702,potentially_overpriced
cadillac,escalade esv sport platinum,2023.0,277.0,6.2l v8 16v gdi ohv,6.2,10-speed automatic with overdrive,1.0,gasoline,four-wheel drive,18.0,27.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black,black,249950.0,1.0,22.5,91909.2877909552,158040.71220904478,-158040.71220904478,171.95292881444522,potentially_overpriced
audi,r8 5.2 v10 performance,2023.0,4612.0,5.2l v10 40v pdi dohc,5.2,7-speed automatic,1.0,gasoline,rear-wheel drive,14.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black / ara blue,mythos black metallic,186995.0,1.0,18.5,52697.515865222806,134297.4841347772,-134297.4841347772,254.84594848503184,potentially_overpriced
audi,r8 5.2 quattro plus,2018.0,13404.0,5.2l v10 40v pdi dohc,5.2,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,14.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black / express red,suzuka gray metallic w/ black roof,164995.0,6.0,18.0,45556.03965806212,119438.96034193787,-119438.96034193787,262.18029758168535,potentially_overpriced
land,rover range rover sv,2023.0,303.0,4.4l v8 32v gdi dohc twin turbo,4.4,automatic,1.0,gasoline,four-wheel drive,19.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony,velocity blue,249995.0,1.0,22.0,132172.52760877888,117822.47239122112,-117822.47239122112,89.14293652608892,potentially_overpriced
mercedes-benz,maybach gls 600 4matic,2021.0,2894.0,"4l v-8 gasoline direct injection, dohc, variable valve control,",4.0,automatic,1.0,gasoline,four-wheel drive,17.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,macchiato/mahogany nappa leather,obsidian black metallic,189990.0,3.0,20.0,79121.86938360168,110868.13061639832,-110868.13061639832,140.12324466056688,potentially_overpriced
chevrolet,chevelle ss,1970.0,4908.0,454,454.0,automatic,1.0,unknown,rear-wheel drive,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,green,mist green,160000.0,54.0,,53123.48723252723,106876.51276747277,-106876.51276747277,201.18504702009255,potentially_overpriced
land,rover range rover autobiography,2023.0,2748.0,4.4l v8 32v gdi dohc twin turbo,4.4,automatic,1.0,gasoline,four-wheel drive,19.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,sv bespoke ebony,santorini black,221000.0,1.0,21.5,119602.50581840365,101397.49418159635,-101397.49418159635,84.77873727457805,potentially_overpriced
nissan,gt-r premium,2023.0,163.0,3.8l v6 24v mpfi dohc twin turbo,3.8,6-speed automatic,1.0,gasoline,four-wheel drive,20.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,kuro night,bayside,153999.0,1.0,22.5,53016.567700381114,100982.43229961889,-100982.43229961889,190.47334952031036,potentially_overpriced
porsche,911 carrera 4 gts,2023.0,557.0,3.0l h6 24v gdi dohc twin turbo,3.0,8-speed automatic,1.0,gasoline,four-wheel drive,15.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,bordeaux red,agate gray metallic,249888.0,1.0,17.5,152293.30064544777,97594.69935455223,-97594.69935455223,64.08338314353124,potentially_overpriced
mercedes-benz,amg s 63 4matic,2021.0,18958.0,"amg 4l v-8 gasoline direct injection, dohc, variable valve contr",,automatic,1.0,gasoline,four-wheel drive,20.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,saddle brown/black,emerald green,167998.0,3.0,24.5,74262.78686188349,93735.21313811651,-93735.21313811651,126.22097432520074,potentially_overpriced
