column,dtype,non_null,missing,missing_pct,unique
brand,str,19107,2,0.010466272437071537,25
model,str,19107,2,0.010466272437071537,3498
year,float64,19107,2,0.010466272437071537,59
mileage,float64,19107,2,0.010466272437071537,17412
engine,str,19062,47,0.24595740227118112,1163
engine_size,float64,17860,1249,6.536187136951174,62
transmission,str,19004,105,0.5494793029462557,189
automatic_transmission,float64,19107,2,0.010466272437071537,2
fuel_type,str,19107,2,0.010466272437071537,10
drivetrain,str,19107,2,0.010466272437071537,5
min_mpg,float64,16103,3006,15.73080747291852,53
max_mpg,float64,16103,3006,15.73080747291852,57
damaged,float64,18940,169,0.8844000209325449,2
first_owner,float64,18803,306,1.601339682871945,2
personal_using,float64,18920,189,0.9890627453032602,2
turbo,float64,19107,2,0.010466272437071537,2
alloy_wheels,float64,19107,2,0.010466272437071537,2
adaptive_cruise_control,float64,19107,2,0.010466272437071537,2
navigation_system,float64,19107,2,0.010466272437071537,2
power_liftgate,float64,19107,2,0.010466272437071537,2
backup_camera,float64,19107,2,0.010466272437071537,2
keyless_start,float64,19107,2,0.010466272437071537,2
remote_start,float64,19107,2,0.010466272437071537,2
sunroof/moonroof,float64,19107,2,0.010466272437071537,2
automatic_emergency_braking,float64,19107,2,0.010466272437071537,2
stability_control,float64,19107,2,0.010466272437071537,2
leather_seats,float64,19107,2,0.010466272437071537,2
memory_seat,float64,19107,2,0.010466272437071537,2
third_row_seating,float64,19107,2,0.010466272437071537,2
apple_car_play/android_auto,float64,19107,2,0.010466272437071537,2
bluetooth,float64,19107,2,0.010466272437071537,2
usb_port,float64,19107,2,0.010466272437071537,2
heated_seats,float64,19107,2,0.010466272437071537,2
interior_color,str,17952,1157,6.054738604845884,957
exterior_color,str,18900,209,1.0937254696739758,1941
price,str,19107,2,0.010466272437071537,9088
